id,customer,date,car_make,car_model,year,mileage,price,payment_type,last_updated
18921,Enterprise Holdings,2025-04-02,Hyundai,Santa Fe,2018,20727.0,15710,Loan,2025-04-02T11:33:00
16845,Lithia Motors,2025-04-02,Ford,Focus,2020,13515.0,5423,Credit,2025-04-02T12:31:00
95273,CarMax,2025-04-02,Chevrolet,Cruze,2022,108909.0,19621,Loan,2025-04-02T06:19:00
31986,Penske Automotive,2025-04-02,Hyundai,Elantra,2020,86290.0,18240,,2025-04-02T00:37:00
86870,Hertz Global Holdings,2025-04-02,Honda,Accord,2018,67252.0,16534,Loan,2025-04-02T17:55:00
54870,Penske Automotive,2025-04-02,Ford,Escape,2022,68934.0,21672,Cash,2025-04-02T21:36:00
72781,Sonic Automotive,2025-04-03,Toyota,Camry,2021,64021.0,18873,,2025-04-03T16:44:00
27935,AutoNation,2025-04-03,Chevrolet,Equinox,2020,94623.0,13036,Loan,2025-04-03T21:11:00
44192,Hertz Global Holdings,2025-04-03,Honda,Civic,2023,68779.0,21353,Credit,2025-04-03T01:22:00
12841,Hertz Global Holdings,2025-04-03,Hyundai,Tucson,2020,58971.0,17700,Credit,2025-04-03T18:28:00
35814,Copart,2025-04-04,Chevrolet,Cruze,2017,43270.0,18486,Loan,2025-04-04T07:20:00
25788,Hertz Global Holdings,2025-04-04,Ford,Escape,2023,,20932,Loan,2025-04-04T08:25:00
97353,Sonic Automotive,2025-04-04,Toyota,RAV4,2023,20403.0,10093,Loan,2025-04-04T04:34:00
60645,Penske Automotive,2025-04-04,Toyota,Camry,2020,25780.0,7845,Credit,2025-04-04T06:21:00
76153,Penske Automotive,2025-04-05,Chevrolet,Equinox,2022,34773.0,19780,Loan,2025-04-05T15:38:00
46332,CarMax,2025-04-05,Toyota,Corolla,2023,38013.0,9875,Credit,2025-04-05T22:38:00
53229,Copart,2025-04-05,Chevrolet,Cruze,2016,73927.0,24427,Cash,2025-04-05T22:31:00
25003,Sonic Automotive,2025-04-05,Hyundai,Tucson,2022,90763.0,9866,Loan,2025-04-05T19:43:00
65555,Penske Automotive,2025-04-05,Hyundai,Santa Fe,2018,109639.0,20697,Loan,2025-04-05T11:55:00
37585,Enterprise Holdings,2025-04-06,Ford,Focus,2017,73357.0,24955,Credit,2025-04-06T06:10:00
26342,Manheim,2025-04-06,Toyota,RAV4,2020,10083.0,6906,Cash,2025-04-06T22:05:00
36898,Sonic Automotive,2025-04-06,Honda,CR-V,2018,14481.0,7406,,2025-04-06T10:55:00
51382,Enterprise Holdings,2025-04-07,Toyota,RAV4,2022,73120.0,21820,,2025-04-07T00:53:00
72976,Lithia Motors,2025-04-07,Toyota,Camry,2017,110765.0,17465,Loan,2025-04-07T04:12:00
46807,Enterprise Holdings,2025-04-07,Honda,Civic,2021,116363.0,11283,Credit,2025-04-07T18:13:00
68513,Lithia Motors,2025-04-07,Toyota,RAV4,2015,79096.0,21503,Loan,2025-04-07T02:52:00
44548,CarMax,2025-04-08,Honda,Accord,2020,48624.0,12015,Loan,2025-04-08T09:43:00
41387,Avis Budget Group,2025-04-08,Chevrolet,Cruze,2015,21192.0,12925,Credit,2025-04-08T06:50:00
69995,Sonic Automotive,2025-04-08,Ford,Focus,2018,57156.0,19392,Credit,2025-04-08T20:37:00
51681,Hertz Global Holdings,2025-04-08,Chevrolet,Cruze,2020,56133.0,6704,Loan,2025-04-08T06:35:00
97074,Manheim,2025-04-09,Ford,Focus,2019,,6182,Cash,2025-04-09T08:09:00
38124,Hertz Global Holdings,2025-04-09,Hyundai,Santa Fe,2019,39605.0,6114,Loan,2025-04-09T01:58:00
60645,Lithia Motors,2025-04-09,Chevrolet,Malibu,2020,27957.0,18906,Loan,2025-04-09T01:44:00
13412,CarMax,2025-04-09,Honda,CR-V,2020,90517.0,6566,Cash,2025-04-09T23:11:00
87615,Sonic Automotive,2025-04-09,Honda,Civic,2015,41687.0,16126,Cash,2025-04-09T22:43:00
16393,CarMax,2025-04-09,Honda,Civic,2023,107319.0,11350,Credit,2025-04-09T02:42:00
76806,AutoNation,2025-04-10,Toyota,Corolla,2018,42304.0,13633,,2025-04-10T13:37:00
21441,Enterprise Holdings,2025-04-10,Ford,Fusion,2022,40287.0,13502,Credit,2025-04-10T01:26:00
18476,Copart,2025-04-10,Chevrolet,Malibu,2022,12001.0,13175,Loan,2025-04-10T12:34:00
89206,Hertz Global Holdings,2025-04-10,Ford,Fusion,2015,71692.0,20702,Cash,2025-04-10T08:22:00
47714,,2025-04-11,Hyundai,Elantra,2022,97076.0,23936,Loan,2025-04-11T02:19:00
73821,Lithia Motors,2025-04-11,Honda,CR-V,2021,,6702,Loan,2025-04-11T05:43:00
61548,Lithia Motors,2025-04-11,Hyundai,Elantra,2020,55322.0,10231,Cash,2025-04-11T20:52:00
98084,Hertz Global Holdings,2025-04-12,Chevrolet,Cruze,2017,90618.0,6845,Loan,2025-04-12T22:48:00
77451,Enterprise Holdings,2025-04-12,Chevrolet,Malibu,2015,,11755,Credit,2025-04-12T03:34:00
48505,Hertz Global Holdings,2025-04-12,Hyundai,Tucson,2017,101410.0,16995,Loan,2025-04-12T09:33:00
87633,Copart,2025-04-12,Ford,Fusion,2018,111625.0,22082,Loan,2025-04-12T08:29:00
24922,Hertz Global Holdings,2025-04-12,Ford,Fusion,2019,58731.0,12702,Credit,2025-04-12T14:34:00
98176,Lithia Motors,2025-04-12,Toyota,RAV4,2015,92744.0,20230,Loan,2025-04-12T09:13:00
64887,Penske Automotive,2025-04-13,Chevrolet,Equinox,2019,60732.0,15085,Loan,2025-04-13T07:27:00
36142,Manheim,2025-04-13,Toyota,Camry,2016,110272.0,21849,Credit,2025-04-13T21:49:00
91032,Avis Budget Group,2025-04-13,Honda,Accord,2018,90720.0,19218,Credit,2025-04-13T06:17:00
49977,Manheim,2025-04-13,Toyota,Camry,2020,35431.0,13974,,2025-04-13T19:02:00
98243,Hertz Global Holdings,2025-04-13,Hyundai,Santa Fe,2020,51623.0,22594,Credit,2025-04-13T16:04:00
50676,Enterprise Holdings,2025-04-13,Toyota,Corolla,2016,23942.0,12427,Loan,2025-04-13T00:13:00
