id,customer,date,car_make,car_model,year,mileage,price,payment_type,last_updated
72239,Sonic Automotive,2025-04-02,Chevrolet,Cruze,2015,29165.0,14228,Loan,2025-04-02T09:05:00
69047,Sonic Automotive,2025-04-02,Chevrolet,Malibu,2021,12347.0,21339,,2025-04-02T06:32:00
43338,Sonic Automotive,2025-04-02,Honda,Civic,2019,,22037,Cash,2025-04-02T14:51:00
79473,Copart,2025-04-02,Hyundai,Tucson,2022,101424.0,8357,Cash,2025-04-02T07:54:00
62829,Hertz Global Holdings,2025-04-02,Honda,Accord,2023,99091.0,9449,Loan,2025-04-02T10:36:00
85286,Lithia Motors,2025-04-02,Ford,Fusion,2016,89749.0,17821,Loan,2025-04-02T04:40:00
70790,Manheim,2025-04-03,Toyota,RAV4,2017,95838.0,21249,Credit,2025-04-03T04:36:00
93407,AutoNation,2025-04-03,Chevrolet,Cruze,2020,113667.0,9257,,2025-04-03T07:34:00
66805,Manheim,2025-04-03,Ford,Focus,2023,31566.0,18633,Credit,2025-04-03T05:57:00
63500,CarMax,2025-04-04,Honda,Accord,2016,95083.0,22597,Cash,2025-04-04T19:32:00
28424,Hertz Global Holdings,2025-04-04,Ford,Escape,2023,29026.0,9283,Loan,2025-04-04T06:28:00
94558,Manheim,2025-04-04,Ford,Escape,2018,98916.0,21579,Credit,2025-04-04T21:04:00
82066,,2025-04-04,Chevrolet,Cruze,2017,,15217,Loan,2025-04-04T01:46:00
58978,AutoNation,2025-04-05,Ford,Focus,2019,117212.0,23716,Cash,2025-04-05T16:15:00
86351,,2025-04-05,Ford,Focus,2018,87037.0,20316,Loan,2025-04-05T17:10:00
58449,,2025-04-05,Hyundai,Elantra,2017,60934.0,19686,Cash,2025-04-05T21:33:00
29827,Manheim,2025-04-05,Honda,Civic,2015,34707.0,17571,Cash,2025-04-05T20:57:00
81981,AutoNation,2025-04-05,Chevrolet,Malibu,2021,17856.0,5151,Credit,2025-04-05T13:01:00
21981,Enterprise Holdings,2025-04-06,Toyota,RAV4,2023,44607.0,5599,Loan,2025-04-06T15:01:00
86646,Copart,2025-04-06,Toyota,Camry,2020,24248.0,24389,Cash,2025-04-06T23:09:00
26235,Enterprise Holdings,2025-04-06,Honda,Civic,2015,36118.0,13408,,2025-04-06T03:20:00
38453,,2025-04-07,Toyota,Camry,2015,113085.0,12552,Loan,2025-04-07T23:56:00
63470,Avis Budget Group,2025-04-07,Ford,Focus,2018,19033.0,17894,,2025-04-07T00:39:00
77492,Manheim,2025-04-07,Hyundai,Tucson,2022,44611.0,15251,Cash,2025-04-07T05:27:00
