sales_id,customer,date,car_make,car_model,year,mileage,price,payment_type,last_updated,mileage_bin,vehicle_age
1,CarMax,2025-04-02,Ford,Escape,2023,80508.0,10552.0,Cash,2025-04-02 16:56:00,Very High,2
2,AutoNation,2025-04-02,Hyundai,Santa Fe,2023,56317.0,15748.0,Credit,2025-04-02 07:25:00,High,2
3,Copart,2025-04-02,Hyundai,Tucson,2022,92961.0,5691.0,Cash,2025-04-02 00:31:00,High,3
4,Unknown,2025-04-03,Honda,Accord,2019,95518.0,20580.0,Credit,2025-04-03 10:40:00,High,6
5,Copart,2025-04-03,Toyota,RAV4,2021,114797.0,5329.0,Credit,2025-04-03 17:38:00,Low,4
6,Hertz Global Holdings,2025-04-03,Toyota,Camry,2017,89742.0,17773.0,Credit,2025-04-03 09:37:00,High,8
7,Penske Automotive,2025-04-03,Ford,Fusion,2019,94006.0,21875.0,Loan,2025-04-03 12:19:00,Very High,6
8,AutoNation,2025-04-03,Honda,CR-V,2015,114196.0,14873.0,Cash,2025-04-03 02:41:00,Medium,10
9,Avis Budget Group,2025-04-03,Hyundai,Santa Fe,2019,47558.0,11601.0,Cash,2025-04-03 08:01:00,Low,6
10,Enterprise Holdings,2025-04-04,Ford,Fusion,2022,90817.0,7414.0,Loan,2025-04-04 22:27:00,High,3
11,Unknown,2025-04-04,Ford,Focus,2017,37764.0,12124.0,Cash,2025-04-04 12:08:00,High,8
12,CarMax,2025-04-04,Ford,Escape,2023,24803.0,7725.0,Loan,2025-04-04 08:35:00,Low,2
13,CarMax,2025-04-04,Honda,Civic,2023,74025.0,,Loan,2025-04-04 05:54:00,High,2
14,Enterprise Holdings,2025-04-05,Honda,Accord,2017,107542.0,23057.0,Loan,2025-04-05 02:40:00,Medium,8
15,Enterprise Holdings,2025-04-05,Hyundai,Tucson,2017,24937.0,22720.0,Loan,2025-04-05 03:32:00,Very High,8
16,Avis Budget Group,2025-04-05,Hyundai,Elantra,2019,116278.0,12991.0,Loan,2025-04-05 07:27:00,Low,6
17,Avis Budget Group,2025-04-05,Hyundai,Tucson,2019,74786.0,6421.0,Loan,2025-04-05 11:16:00,Medium,6
18,Enterprise Holdings,2025-04-05,Hyundai,Santa Fe,2015,51736.0,8352.0,Loan,2025-04-05 11:43:00,High,10
19,Penske Automotive,2025-04-06,Honda,Civic,2019,14797.0,8735.0,Credit,2025-04-06 13:33:00,High,6
20,Lithia Motors,2025-04-06,Ford,Fusion,2020,63096.26666666667,,Credit,2025-04-06 03:47:00,Low,5
21,Lithia Motors,2025-04-06,Hyundai,Elantra,2020,21732.0,7010.0,Credit,2025-04-06 13:47:00,High,5
22,Manheim,2025-04-06,Toyota,Camry,2021,40400.0,19029.0,Loan,2025-04-06 15:40:00,High,4
23,CarMax,2025-04-06,Chevrolet,Cruze,2015,91053.0,12756.0,Loan,2025-04-06 06:03:00,High,10
24,Penske Automotive,2025-04-07,Chevrolet,Malibu,2018,117569.0,12317.0,Loan,2025-04-07 23:53:00,High,7
25,Unknown,2025-04-07,Toyota,RAV4,2017,82755.0,16403.0,Loan,2025-04-07 07:44:00,Medium,8
26,Lithia Motors,2025-04-07,Toyota,Corolla,2017,54181.0,9366.0,Cash,2025-04-07 09:03:00,Medium,8
27,Copart,2025-04-07,Hyundai,Tucson,2020,10642.0,12826.0,Cash,2025-04-07 16:39:00,Low,5
28,Enterprise Holdings,2025-04-07,Honda,CR-V,2022,103680.0,21702.0,Credit,2025-04-07 12:40:00,Very High,3
29,Enterprise Holdings,2025-04-08,Toyota,Corolla,2015,68921.0,7891.0,Loan,2025-04-08 05:19:00,Medium,10
30,Avis Budget Group,2025-04-08,Toyota,Camry,2020,45569.1,,Cash,2025-04-08 07:06:00,Low,5
31,CarMax,2025-04-08,Ford,Escape,2019,79912.0,23382.0,Loan,2025-04-08 07:31:00,Low,6
32,Enterprise Holdings,2025-04-09,Honda,CR-V,2016,50147.0,14786.0,Cash,2025-04-09 08:34:00,Medium,9
33,Copart,2025-04-09,Ford,Escape,2019,109634.0,17696.0,Cash,2025-04-09 07:09:00,High,6
34,Lithia Motors,2025-04-09,Chevrolet,Cruze,2016,63905.0,12774.0,Credit,2025-04-09 20:22:00,High,9
