sales_id,customer,date,car_make,car_model,year,mileage,price,payment_type,last_updated,mileage_bin,vehicle_age
1,CarMax,2025-04-20,Honda,Civic,2017,100265.0,10506,Credit,2025-04-20 23:38:00,Very High,8
2,Penske Automotive,2025-04-20,Honda,Accord,2019,82213.0,17360,Credit,2025-04-20 23:44:00,High,6
3,Enterprise Holdings,2025-04-20,Ford,Fusion,2020,45168.0,10519,Credit,2025-04-20 15:33:00,Medium,5
4,Penske Automotive,2025-04-21,Honda,Accord,2016,46693.0,24922,Credit,2025-04-21 11:03:00,Medium,9
5,AutoNation,2025-04-21,Hyundai,Tucson,2023,115599.0,5643,Cash,2025-04-21 20:02:00,Very High,2
6,Penske Automotive,2025-04-21,Chevrolet,Malibu,2023,51144.0,21237,Credit,2025-04-21 20:06:00,Medium,2
7,CarMax,2025-04-21,Chevrolet,Malibu,2017,107794.0,20839,Credit,2025-04-21 02:19:00,Very High,8
8,CarMax,2025-04-21,Chevrolet,Equinox,2022,,7274,Credit,2025-04-21 03:19:00,,3
9,Manheim,2025-04-21,Honda,Civic,2015,71751.0,18291,Unknown,2025-04-21 21:13:00,High,10
10,Sonic Automotive,2025-04-22,Chevrolet,Malibu,2022,,14860,Loan,2025-04-22 09:46:00,,3
11,AutoNation,2025-04-22,Ford,Fusion,2017,19179.0,6851,Loan,2025-04-22 05:53:00,Low,8
12,AutoNation,2025-04-22,Hyundai,Tucson,2018,61838.0,22190,Credit,2025-04-22 12:37:00,High,7
13,CarMax,2025-04-22,Ford,Escape,2020,40754.0,16130,Credit,2025-04-22 06:10:00,Medium,5
14,CarMax,2025-04-22,Hyundai,Santa Fe,2020,99492.0,22070,Credit,2025-04-22 07:00:00,Very High,5
15,Hertz Global Holdings,2025-04-23,Chevrolet,Cruze,2023,,20339,Loan,2025-04-23 05:56:00,,2
16,CarMax,2025-04-23,Ford,Focus,2017,61688.0,11734,Credit,2025-04-23 17:28:00,High,8
17,Enterprise Holdings,2025-04-23,Toyota,Camry,2018,82153.0,19290,Loan,2025-04-23 17:04:00,High,7
18,Copart,2025-04-24,Chevrolet,Malibu,2018,33181.0,24215,Loan,2025-04-24 21:15:00,Medium,7
19,Penske Automotive,2025-04-24,Chevrolet,Cruze,2018,68727.0,22990,Cash,2025-04-24 23:32:00,High,7
20,CarMax,2025-04-24,Toyota,Corolla,2023,26982.0,15339,Credit,2025-04-24 11:13:00,Low,2
21,Penske Automotive,2025-04-24,Chevrolet,Equinox,2021,48037.0,13781,Loan,2025-04-24 06:47:00,Medium,4
22,Sonic Automotive,2025-04-25,Honda,Civic,2018,,20322,Cash,2025-04-25 15:57:00,,7
23,Penske Automotive,2025-04-25,Hyundai,Tucson,2021,99950.0,8880,Cash,2025-04-25 04:05:00,Very High,4
24,Lithia Motors,2025-04-25,Honda,Accord,2021,26770.0,20014,Cash,2025-04-25 08:01:00,Low,4
25,Enterprise Holdings,2025-04-25,Chevrolet,Equinox,2023,60640.0,9936,Cash,2025-04-25 18:09:00,High,2
26,Lithia Motors,2025-04-25,Hyundai,Santa Fe,2017,51245.0,10504,Cash,2025-04-25 14:10:00,Medium,8
27,Unknown,2025-04-26,Toyota,RAV4,2017,18848.0,7051,Loan,2025-04-26 08:19:00,Low,8
28,Unknown,2025-04-26,Chevrolet,Malibu,2015,67154.0,18157,Credit,2025-04-26 18:47:00,High,10
29,Hertz Global Holdings,2025-04-26,Hyundai,Tucson,2015,106250.0,16268,Loan,2025-04-26 21:51:00,Very High,10
30,CarMax,2025-04-27,Hyundai,Tucson,2022,23068.0,15485,Cash,2025-04-27 11:39:00,Low,3
31,AutoNation,2025-04-27,Chevrolet,Malibu,2020,77090.0,10584,Credit,2025-04-27 14:58:00,High,5
32,Avis Budget Group,2025-04-27,Toyota,Camry,2016,29903.0,13274,Cash,2025-04-27 18:36:00,Low,9
33,Unknown,2025-04-27,Toyota,RAV4,2020,18212.0,14800,Unknown,2025-04-27 12:03:00,Low,5
34,Penske Automotive,2025-04-27,Honda,CR-V,2022,36310.0,10514,Credit,2025-04-27 14:05:00,Medium,3
35,Manheim,2025-04-27,Toyota,RAV4,2018,20672.0,11832,Credit,2025-04-27 06:08:00,Low,7
36,Manheim,2025-04-28,Chevrolet,Malibu,2022,34858.0,24513,Loan,2025-04-28 05:47:00,Medium,3
37,Avis Budget Group,2025-04-28,Hyundai,Elantra,2017,100024.0,10742,Cash,2025-04-28 07:13:00,Very High,8
38,AutoNation,2025-04-28,Honda,Accord,2020,72825.0,23157,Cash,2025-04-28 15:40:00,High,5
39,Sonic Automotive,2025-04-28,Chevrolet,Malibu,2017,64296.0,22760,Unknown,2025-04-28 07:47:00,High,8
40,AutoNation,2025-04-28,Chevrolet,Equinox,2021,70315.0,14596,Loan,2025-04-28 21:26:00,High,4
41,Unknown,2025-04-29,Ford,Fusion,2017,70024.0,6892,Cash,2025-04-29 03:50:00,High,8
42,Manheim,2025-04-29,Chevrolet,Cruze,2015,17565.0,22632,Cash,2025-04-29 10:25:00,Low,10
43,Enterprise Holdings,2025-04-29,Honda,CR-V,2019,65834.0,18998,Credit,2025-04-29 07:11:00,High,6
44,CarMax,2025-04-30,Toyota,RAV4,2021,27608.0,12307,Loan,2025-04-30 03:15:00,Low,4
45,Sonic Automotive,2025-04-30,Hyundai,Santa Fe,2019,92490.0,10661,Unknown,2025-04-30 00:35:00,Very High,6
46,Manheim,2025-04-30,Hyundai,Elantra,2018,41009.0,23447,Unknown,2025-04-30 18:26:00,Medium,7
47,Hertz Global Holdings,2025-04-30,Chevrolet,Equinox,2019,107907.0,22701,Cash,2025-04-30 19:07:00,Very High,6
48,CarMax,2025-05-01,Chevrolet,Cruze,2023,26827.0,16978,Loan,2025-05-01 14:14:00,Low,2
49,Manheim,2025-05-01,Toyota,Camry,2022,,23101,Credit,2025-05-01 03:36:00,,3
50,CarMax,2025-05-01,Honda,CR-V,2018,43737.0,16889,Credit,2025-05-01 12:18:00,Medium,7
51,CarMax,2025-05-01,Toyota,RAV4,2019,13888.0,5962,Credit,2025-05-01 00:26:00,Low,6
52,AutoNation,2025-05-02,Hyundai,Santa Fe,2021,65792.0,15814,Credit,2025-05-02 10:51:00,High,4
53,Unknown,2025-05-02,Toyota,Camry,2018,96565.0,23999,Cash,2025-05-02 22:52:00,Very High,7
54,CarMax,2025-05-02,Hyundai,Elantra,2020,,8147,Cash,2025-05-02 01:12:00,,5
55,Avis Budget Group,2025-05-02,Honda,Civic,2017,94203.0,15074,Cash,2025-05-02 18:47:00,Very High,8
56,Hertz Global Holdings,2025-05-02,Chevrolet,Equinox,2020,100340.0,22970,Credit,2025-05-02 07:57:00,Very High,5
57,Manheim,2025-05-03,Hyundai,Elantra,2018,80939.0,20622,Cash,2025-05-03 16:58:00,High,7
58,Enterprise Holdings,2025-05-03,Honda,Accord,2018,117116.0,13838,Credit,2025-05-03 19:20:00,Very High,7
59,Enterprise Holdings,2025-05-03,Honda,Civic,2015,29255.0,20114,Credit,2025-05-03 05:34:00,Low,10
60,Lithia Motors,2025-05-03,Hyundai,Santa Fe,2021,107656.0,22991,Loan,2025-05-03 17:18:00,Very High,4
61,Penske Automotive,2025-05-03,Toyota,Camry,2017,22703.0,19761,Cash,2025-05-03 23:04:00,Low,8
62,AutoNation,2025-05-04,Hyundai,Elantra,2023,20002.0,22523,Cash,2025-05-04 22:12:00,Low,2
63,Sonic Automotive,2025-05-04,Honda,Civic,2023,82682.0,23130,Loan,2025-05-04 13:27:00,High,2
64,Unknown,2025-05-04,Hyundai,Tucson,2020,104229.0,7604,Cash,2025-05-04 07:39:00,Very High,5
65,Unknown,2025-05-05,Hyundai,Elantra,2021,68507.0,5456,Credit,2025-05-05 00:21:00,High,4
66,AutoNation,2025-05-05,Chevrolet,Equinox,2021,110958.0,14706,Cash,2025-05-05 20:27:00,Very High,4
