sales_id,customer,date,car_make,car_model,year,mileage,price,payment_type,last_updated,mileage_bin,vehicle_age
1,CarMax,2025-04-02,Ford,Escape,2023,111613.0,5335,Cash,2025-04-02 16:56:00,Very High,2
2,AutoNation,2025-04-02,Hyundai,Santa Fe,2023,70643.0,19719,Credit,2025-04-02 07:25:00,High,2
3,Copart,2025-04-02,Hyundai,Tucson,2022,71863.0,17754,Cash,2025-04-02 00:31:00,High,3
4,Unknown,2025-04-03,Honda,Accord,2019,85494.0,18033,Credit,2025-04-03 10:40:00,High,6
5,Copart,2025-04-03,Toyota,RAV4,2021,15757.0,15491,Credit,2025-04-03 17:38:00,Low,4
6,Hertz Global Holdings,2025-04-03,Toyota,Camry,2017,78079.0,19646,Credit,2025-04-03 09:37:00,High,8
7,Penske Automotive,2025-04-03,Ford,Fusion,2019,118027.0,17536,Loan,2025-04-03 12:19:00,Very High,6
8,AutoNation,2025-04-03,Honda,CR-V,2015,45492.0,7349,Cash,2025-04-03 02:41:00,Medium,10
9,Avis Budget Group,2025-04-03,Hyundai,Santa Fe,2019,21428.0,14731,Cash,2025-04-03 08:01:00,Low,6
10,Enterprise Holdings,2025-04-04,Ford,Fusion,2022,82589.0,14272,Loan,2025-04-04 22:27:00,High,3
11,Unknown,2025-04-04,Ford,Focus,2017,64742.88888888889,15068,Cash,2025-04-04 12:08:00,High,8
12,CarMax,2025-04-04,Ford,Escape,2023,28823.0,11706,Loan,2025-04-04 08:35:00,Low,2
13,CarMax,2025-04-04,Honda,Civic,2023,74412.0,7296,Loan,2025-04-04 05:54:00,High,2
14,Enterprise Holdings,2025-04-05,Honda,Accord,2017,37652.0,5918,Loan,2025-04-05 02:40:00,Medium,8
15,Enterprise Holdings,2025-04-05,Hyundai,Tucson,2017,100546.0,14031,Loan,2025-04-05 03:32:00,Very High,8
16,Avis Budget Group,2025-04-05,Hyundai,Elantra,2019,28769.0,7102,Loan,2025-04-05 07:27:00,Low,6
17,Avis Budget Group,2025-04-05,Hyundai,Tucson,2019,45057.0,24147,Loan,2025-04-05 11:16:00,Medium,6
18,Enterprise Holdings,2025-04-05,Hyundai,Santa Fe,2015,66120.9,15692,Loan,2025-04-05 11:43:00,High,10
19,Penske Automotive,2025-04-06,Honda,Civic,2019,70248.0,23621,Credit,2025-04-06 13:33:00,High,6
20,Lithia Motors,2025-04-06,Ford,Fusion,2020,20725.0,12475,Credit,2025-04-06 03:47:00,Low,5
21,Lithia Motors,2025-04-06,Hyundai,Elantra,2020,87546.0,6029,Credit,2025-04-06 13:47:00,High,5
22,Manheim,2025-04-06,Toyota,Camry,2021,72673.0,24413,Loan,2025-04-06 15:40:00,High,4
23,CarMax,2025-04-06,Chevrolet,Cruze,2015,63443.0,9292,Loan,2025-04-06 06:03:00,High,10
