id,customer,date,car_make,car_model,year,mileage,price,payment_type,last_updated
58160,Copart,2025-04-02,Toyota,RAV4,2015,118857,8918,Cash,2025-04-02 23:57:00
95195,Penske Automotive,2025-04-02,Ford,Escape,2019,32204,9082,Credit,2025-04-02 22:25:00
45498,Sonic Automotive,2025-04-02,Toyota,Camry,2022,15750,18686,Loan,2025-04-02 08:42:00
17218,Copart,2025-04-03,Ford,Fusion,2021,112832,8614,Cash,2025-04-03 21:15:00
72832,Sonic Automotive,2025-04-03,Chevrolet,Equinox,2017,28635,17484,Credit,2025-04-03 16:48:00
13931,CarMax,2025-04-03,Hyundai,Elantra,2022,22931,13564,Cash,2025-04-03 09:33:00
63815,Copart,2025-04-03,Chevrolet,Cruze,2021,114482,19676,Credit,2025-04-03 07:53:00
58243,Avis Budget Group,2025-04-03,Toyota,Camry,2023,41100,23754,Loan,2025-04-03 01:19:00
23412,Manheim,2025-04-04,Hyundai,Tucson,2020,64140,20911,Loan,2025-04-04 08:47:00
98906,Copart,2025-04-04,Honda,Civic,2016,37805,5136,Loan,2025-04-04 23:33:00
73996,Enterprise Holdings,2025-04-04,Honda,Civic,2020,56492,12735,Cash,2025-04-04 11:24:00
56598,Hertz Global Holdings,2025-04-05,Ford,Fusion,2015,58616,11818,Credit,2025-04-05 13:53:00
63558,Manheim,2025-04-05,Ford,Fusion,2019,92388,7096,Credit,2025-04-05 02:52:00
29045,Enterprise Holdings,2025-04-05,Toyota,Corolla,2017,99338,24733,Credit,2025-04-05 12:06:00
57393,CarMax,2025-04-06,Toyota,Corolla,2017,75450,10653,Cash,2025-04-06 23:04:00
43525,AutoNation,2025-04-06,Toyota,Camry,2016,105223,22273,Cash,2025-04-06 17:16:00
28933,Manheim,2025-04-06,Ford,Fusion,2016,116431,7886,Cash,2025-04-06 11:08:00
47086,Copart,2025-04-06,Hyundai,Tucson,2023,69538,21764,Credit,2025-04-06 01:48:00
41484,CarMax,2025-04-07,Honda,Accord,2016,27410,14406,Cash,2025-04-07 10:57:00
97173,AutoNation,2025-04-07,Chevrolet,Equinox,2020,88149,9367,Cash,2025-04-07 18:17:00
39353,Enterprise Holdings,2025-04-07,Chevrolet,Malibu,2021,88912,22985,Credit,2025-04-07 13:41:00
66578,Penske Automotive,2025-04-07,Chevrolet,Cruze,2023,15779,16063,Cash,2025-04-07 23:40:00
13449,Avis Budget Group,2025-04-07,Ford,Fusion,2023,47912,8709,Credit,2025-04-07 09:04:00
21301,Copart,2025-04-07,Chevrolet,Equinox,2017,21491,12726,Credit,2025-04-07 16:29:00
54373,Hertz Global Holdings,2025-04-08,Ford,Escape,2021,104705,23531,Loan,2025-04-08 08:06:00
90302,Avis Budget Group,2025-04-08,Chevrolet,Cruze,2020,88559,18063,Loan,2025-04-08 14:13:00
47450,CarMax,2025-04-08,Chevrolet,Malibu,2019,106782,6197,Credit,2025-04-08 03:14:00
42649,Enterprise Holdings,2025-04-08,Honda,Accord,2017,60052,7903,Loan,2025-04-08 14:47:00
60202,Lithia Motors,2025-04-08,Ford,Fusion,2021,79170,21489,Credit,2025-04-08 18:22:00
95559,Penske Automotive,2025-04-09,Chevrolet,Cruze,2018,23249,8879,Cash,2025-04-09 01:19:00
95645,Penske Automotive,2025-04-09,Hyundai,Santa Fe,2018,116998,14968,Loan,2025-04-09 04:36:00
63637,Lithia Motors,2025-04-09,Honda,CR-V,2016,79811,14546,Cash,2025-04-09 21:35:00
43226,AutoNation,2025-04-10,Toyota,Corolla,2019,41718,17601,Credit,2025-04-10 09:02:00
20116,Manheim,2025-04-10,Ford,Focus,2016,69198,5167,Credit,2025-04-10 12:55:00
41871,Enterprise Holdings,2025-04-10,Chevrolet,Malibu,2023,115863,5185,Cash,2025-04-10 12:20:00
18424,Avis Budget Group,2025-04-10,Toyota,Corolla,2018,96087,9273,Cash,2025-04-10 13:20:00
91250,Enterprise Holdings,2025-04-10,Ford,Focus,2022,65060,6544,Cash,2025-04-10 22:00:00
72766,Enterprise Holdings,2025-04-10,Chevrolet,Malibu,2016,17765,21165,Credit,2025-04-10 17:45:00
34255,Copart,2025-04-11,Chevrolet,Cruze,2020,113018,18210,Cash,2025-04-11 05:22:00
82138,Copart,2025-04-11,Hyundai,Tucson,2020,49869,14507,Cash,2025-04-11 18:44:00
