id,customer,date,car_make,car_model,year,mileage,price,payment_type,last_updated
86443,,2025-04-02,Ford,Focus,2019,55393.0,8632,Cash,2025-04-02T18:26:00
89507,Avis Budget Group,2025-04-02,Honda,Civic,2018,114804.0,7464,Loan,2025-04-02T13:59:00
49890,Hertz Global Holdings,2025-04-02,Chevrolet,Malibu,2021,108048.0,17151,Loan,2025-04-02T21:44:00
13484,CarMax,2025-04-02,Toyota,Corolla,2018,118260.0,15158,Credit,2025-04-02T12:29:00
27199,CarMax,2025-04-02,Honda,Civic,2019,26459.0,9878,Cash,2025-04-02T12:29:00
73048,Enterprise Holdings,2025-04-02,Hyundai,Santa Fe,2017,,19248,Cash,2025-04-02T13:52:00
37907,Copart,2025-04-03,Ford,Escape,2022,113544.0,13746,Cash,2025-04-03T01:27:00
99978,Sonic Automotive,2025-04-03,Toyota,RAV4,2020,107510.0,23022,Credit,2025-04-03T21:41:00
85017,Enterprise Holdings,2025-04-03,Ford,Escape,2023,72815.0,10247,Credit,2025-04-03T23:32:00
68820,Hertz Global Holdings,2025-04-04,Honda,Civic,2015,41285.0,15607,Cash,2025-04-04T18:36:00
92007,Lithia Motors,2025-04-04,Toyota,Camry,2016,73193.0,20484,Cash,2025-04-04T23:30:00
39271,Sonic Automotive,2025-04-04,Honda,Civic,2018,42854.0,17793,Loan,2025-04-04T00:32:00
96047,,2025-04-04,Ford,Escape,2023,,18079,Credit,2025-04-04T13:29:00
36924,Penske Automotive,2025-04-04,Toyota,RAV4,2020,20500.0,11174,,2025-04-04T08:21:00
28879,Lithia Motors,2025-04-04,Ford,Escape,2023,66508.0,8152,Loan,2025-04-04T17:04:00
44458,Manheim,2025-04-05,Chevrolet,Malibu,2018,88712.0,23989,Cash,2025-04-05T10:49:00
52402,CarMax,2025-04-05,Toyota,RAV4,2021,32768.0,5875,,2025-04-05T03:09:00
65637,Enterprise Holdings,2025-04-05,Ford,Focus,2022,58444.0,13535,Cash,2025-04-05T04:56:00
97444,Lithia Motors,2025-04-05,Hyundai,Elantra,2019,,8183,Credit,2025-04-05T14:41:00
23002,Sonic Automotive,2025-04-05,Ford,Focus,2023,113859.0,20220,Loan,2025-04-05T22:42:00
72884,Sonic Automotive,2025-04-06,Honda,CR-V,2019,20409.0,18155,Credit,2025-04-06T04:06:00
56506,Penske Automotive,2025-04-06,Honda,Civic,2020,,24378,Credit,2025-04-06T07:37:00
40052,Copart,2025-04-06,Honda,Civic,2016,111840.0,7034,Cash,2025-04-06T19:30:00
15731,Sonic Automotive,2025-04-06,Toyota,RAV4,2018,93400.0,22949,Credit,2025-04-06T23:29:00
39318,Penske Automotive,2025-04-06,Hyundai,Elantra,2020,77546.0,12017,Loan,2025-04-06T08:21:00
39996,Enterprise Holdings,2025-04-07,Chevrolet,Equinox,2023,76168.0,15439,,2025-04-07T06:49:00
63944,Penske Automotive,2025-04-07,Chevrolet,Cruze,2022,40124.0,16520,,2025-04-07T18:04:00
10098,CarMax,2025-04-07,Honda,Accord,2020,62789.0,5759,Cash,2025-04-07T18:55:00
43538,CarMax,2025-04-08,Hyundai,Tucson,2021,38246.0,24417,Credit,2025-04-08T06:45:00
30292,Enterprise Holdings,2025-04-08,Chevrolet,Equinox,2015,52291.0,24162,Credit,2025-04-08T18:02:00
17715,Sonic Automotive,2025-04-08,Honda,CR-V,2022,45963.0,10277,Cash,2025-04-08T03:16:00
13432,Lithia Motors,2025-04-08,Toyota,Corolla,2017,94883.0,24208,Loan,2025-04-08T14:51:00
48739,Lithia Motors,2025-04-09,Ford,Focus,2016,32337.0,11043,Cash,2025-04-09T21:16:00
29373,,2025-04-09,Honda,Accord,2020,75721.0,18962,Credit,2025-04-09T04:59:00
50400,Manheim,2025-04-09,Ford,Escape,2021,12555.0,14194,Cash,2025-04-09T02:46:00
13468,Avis Budget Group,2025-04-09,Toyota,Corolla,2017,51957.0,10999,Credit,2025-04-09T18:20:00
39775,Sonic Automotive,2025-04-09,Toyota,Camry,2015,50224.0,5584,Credit,2025-04-09T05:46:00
40577,Avis Budget Group,2025-04-10,Toyota,Camry,2017,16031.0,18801,Loan,2025-04-10T13:06:00
26389,,2025-04-10,Hyundai,Tucson,2023,54758.0,5032,,2025-04-10T14:42:00
72991,Penske Automotive,2025-04-10,Chevrolet,Cruze,2018,96686.0,20819,Credit,2025-04-10T03:10:00
44328,Sonic Automotive,2025-04-10,Hyundai,Santa Fe,2023,37830.0,13158,Cash,2025-04-10T07:24:00
72509,Penske Automotive,2025-04-10,Honda,CR-V,2021,101116.0,22618,Cash,2025-04-10T18:06:00
80521,AutoNation,2025-04-10,Hyundai,Tucson,2016,55783.0,7486,Loan,2025-04-10T21:36:00
15921,CarMax,2025-04-11,Honda,CR-V,2019,53631.0,20975,Cash,2025-04-11T14:56:00
80812,Copart,2025-04-11,Toyota,Camry,2016,47606.0,10648,Credit,2025-04-11T08:15:00
18044,Sonic Automotive,2025-04-11,Toyota,Camry,2022,,9039,Cash,2025-04-11T13:39:00
