id,customer,date,car_make,car_model,year,mileage,price,payment_type,last_updated
96170,Sonic Automotive,2025-04-02,Chevrolet,Malibu,2021,76680.0,22689,Loan,2025-04-02T15:07:00
42890,Lithia Motors,2025-04-02,Honda,Civic,2019,97159.0,23623,,2025-04-02T01:18:00
51710,CarMax,2025-04-02,Ford,Escape,2021,32141.0,19238,Credit,2025-04-02T03:15:00
58253,Lithia Motors,2025-04-02,Chevrolet,Equinox,2019,46321.0,8995,Cash,2025-04-02T09:37:00
33556,AutoNation,2025-04-02,Hyundai,Elantra,2021,100419.0,16999,Credit,2025-04-02T23:28:00
76562,AutoNation,2025-04-03,Toyota,Corolla,2021,117190.0,23539,Loan,2025-04-03T14:52:00
57843,Sonic Automotive,2025-04-03,Hyundai,Tucson,2018,112070.0,14813,Cash,2025-04-03T11:33:00
85898,CarMax,2025-04-03,Honda,Civic,2016,98896.0,21343,Cash,2025-04-03T05:00:00
72760,Copart,2025-04-03,Chevrolet,Equinox,2017,101749.0,19720,Credit,2025-04-03T01:33:00
59115,CarMax,2025-04-04,Honda,Civic,2022,65489.0,10875,Cash,2025-04-04T17:00:00
43576,,2025-04-04,Chevrolet,Cruze,2020,49895.0,12608,Credit,2025-04-04T03:15:00
19839,Enterprise Holdings,2025-04-04,Hyundai,Elantra,2019,84578.0,24301,Credit,2025-04-04T03:52:00
75773,CarMax,2025-04-05,Ford,Escape,2022,78514.0,20682,Credit,2025-04-05T03:32:00
14949,Lithia Motors,2025-04-05,Honda,Civic,2016,10068.0,17410,Cash,2025-04-05T09:46:00
43364,CarMax,2025-04-05,Toyota,RAV4,2016,12752.0,11317,Credit,2025-04-05T22:59:00
65658,Enterprise Holdings,2025-04-05,Honda,Civic,2021,93542.0,15689,Cash,2025-04-05T16:13:00
66767,Enterprise Holdings,2025-04-05,Chevrolet,Equinox,2021,103972.0,21613,Loan,2025-04-05T01:49:00
60483,Sonic Automotive,2025-04-05,Honda,Accord,2016,14788.0,19575,Cash,2025-04-05T04:53:00
59851,CarMax,2025-04-06,Honda,CR-V,2017,107207.0,6831,,2025-04-06T21:27:00
62951,,2025-04-06,Chevrolet,Equinox,2016,94443.0,5556,Loan,2025-04-06T04:24:00
31117,Manheim,2025-04-06,Hyundai,Elantra,2017,27116.0,12307,,2025-04-06T03:44:00
26230,Lithia Motors,2025-04-06,Honda,Civic,2023,75079.0,6740,Credit,2025-04-06T18:43:00
29888,Penske Automotive,2025-04-06,Hyundai,Santa Fe,2016,10308.0,13820,Cash,2025-04-06T09:33:00
81869,Lithia Motors,2025-04-06,Hyundai,Elantra,2016,113942.0,17994,Loan,2025-04-06T14:02:00
84570,Sonic Automotive,2025-04-07,Hyundai,Santa Fe,2016,67678.0,19464,Cash,2025-04-07T04:41:00
84309,Enterprise Holdings,2025-04-07,Honda,Civic,2017,72575.0,12189,Loan,2025-04-07T16:07:00
27844,Enterprise Holdings,2025-04-07,Ford,Fusion,2019,111719.0,15308,Loan,2025-04-07T13:17:00
68751,Hertz Global Holdings,2025-04-07,Honda,CR-V,2015,26290.0,14593,Credit,2025-04-07T20:03:00
11371,Hertz Global Holdings,2025-04-07,Hyundai,Elantra,2020,45608.0,20735,Cash,2025-04-07T17:51:00
32083,Lithia Motors,2025-04-07,Hyundai,Tucson,2020,29660.0,12076,Loan,2025-04-07T22:45:00
17764,,2025-04-08,Ford,Escape,2021,81265.0,6591,Cash,2025-04-08T15:20:00
86573,Enterprise Holdings,2025-04-08,Hyundai,Tucson,2015,86997.0,7233,Cash,2025-04-08T16:35:00
20417,Copart,2025-04-08,Toyota,Corolla,2020,20375.0,20103,Credit,2025-04-08T22:14:00
64951,Copart,2025-04-08,Hyundai,Elantra,2023,15624.0,9875,Loan,2025-04-08T15:08:00
38240,Enterprise Holdings,2025-04-08,Hyundai,Elantra,2015,103665.0,20458,Loan,2025-04-08T05:25:00
